description,jobflag
"Focus on customer satisfaction, retention and brand loyalty through every customer interaction.",3
"Manage individual projects priorities, deadlines and deliverables with your technical expertise.",2
Assist Sales Representative with the creation and execution of an overall sales strategy for an account.,2
Examples of work include conducting Natural Language Processing or Sentiment Analyses on unstructured data sets,0
"Apply appropriate standards, processes, procedures, and tools throughout the development life cycle.",2
Provide weekly status reports - Perform regression testing and efficient O&M defect verification,2
"Develop and implement statistical, machine learning, and heuristic techniques to create descriptive, predictive, and prescriptive analytics",0
Applies knowledge of principles and techniques to solve technical problems,2
Translate strategic analytics requirements into Analytics tools and infrastructure,1
Code contributions to our deep learning framework,1
Create presentation dashboards and implement analytical tools to enhance action of the discoveries,3
"Help maintain code quality, organization, and automation",2
Performs any additional duties assigned.,3
Compare results from various methodologies and recommend best techniques to stake holders.,0
Is able to work productively on a geographically distributed team,1
"Gather input and requirements from technical staff, end users, and management",2
Participate in the installation of application releases into production as directed.,3
"Knows how to use agreed standards and tools to design, code, test, correct and document moderate-to-complex programs and scripts from agreed specifications and subsequent iterations",0
"Use your strong Python coding skills to research, design, develop and expand upon algorithms that will train neural networks to deliver actionable intelligence faster and more effectively",1
"Provide mentoring and training to peers, colleagues and partners;",3
"Maintain chain of custody of sampling activity, analytical data and project recordkeeping (log book) in accordance with regulatory requirements and Chubb Global Risk Advisors' recordkeeping responsibilities.",3
Coordinate with different functional teams to implement models and monitor outcomes.,1
Plan and customize products to meet customer needs,3
Troubleshoot and correct software defects,2
Defining rough technology and system requirement to solve the problems,0
Determine and communicate system requirements and capabilities in furtherance of the customer's mission,2
Incorporate SME input into feature vectors suitable for analytic development and testing,0
Provide on-going post implementation support to optimize user adoption and NetSuite configuration.,3
Lead development efforts to build efficient feature capabilities to support proper data extraction & curation for analytical purposes,1
Ability to work in Agile or Waterfall projects and has a thorough understanding of SDLC,3
Develop training materials for end users on the system changes being implemented,3
Maintains inventory of computer parts and log of all repairs and service performed.,3
Build decision engine applications that simulate supply chain activities and select the path of highest profitability,0
Coordinate with customers to optimize the gas processing solutions being offered.,2
"Actively participate as a member of our Rock Application Development team in collaborating, conceiving and developing scalable, performant, secure solutions",2
Work with clients to pre-verify the data elements needed,3
Must be highly responsive and able to produce clinical content very quickly,0
Create thoughtful solutions that engage and empower members to make more informed decisions about their health,0
"Work with key stakeholders to create, draft, and communicate implementation standards to facilitate smoother operations and improve decision making.",3
Conduct original research on critical technologies in computer vision and machine learning.,1
"Write high quality, maintainable code",2
Resolve Tax Reporter related issues during the year-end W-2 processing by collaborating with the respective teams,3
Build complex advanced-level machine learning and advanced     analytics models.,0
"Work in a cross-functional Scrum team, informing requirements and design and seeing it all through to implemented code in production.",2
Works under immediate supervision.,2
Develops and maintains a strong customer relationship and works to be recognized as a Trusted Advisor providing unbiased guidance,2
Responsible for all reporting and history updating into the NS5 planned maintenance program,2
"Test, debug, and refine software to meet customer requirements.",2
Analyze retail and market level data to develop planogram schematics utilizing JDA Space Planning software platform.,3
Owns the Dev-Ops function for the e-commerce development team,2
Produce daily metrics and reports,0
Log and track software change requests,2
Work with cloud and data architects to define robust architecture in cloud setup pipelines and work flows.,1
Build Novartis image analytics center of excellence to make it a team of international reputation,0
"Work with Managers to develop an individual career development plan focused on skills and experience enhancements, customized career development plans, and achieving developmental milestones within the practice to further your progression within the firm.",3
"Participates in development and preparation of design specifications and code reviews along with analyzing information to determine, recommend, and plan software requirement, specifications, and software component modifications.",2
"Will create business intelligence, dashboards, visualizations, and/or other advanced analytics reports to adequately tell the business narrative and offer recommendations that are practiced, actionable, and have a material impact, in addition to being well-supported by analytical models and data.",0
"Performs other duties as requested, direct, or assigned",2
Work on a team of software engineers assigned to one of the programs mentioned above.,2
Study and transform data science prototypes,1
Working with customers to define networking and cyber-security design.,2
Writing unit and functional tests within automated test environments to ensure code quality,2
"Install and configure Docker images for Telegraf, InfluxDB, Grafana, Kapacitor on AWS cloud monitoring EC2.",2
Work with cyber security engineers to design and develop next-generation cyber tools,2
Partner in development of scalable solutions using large datasets with other data scientists on the team,0
Creating a Data Quality Index to assess the quality of external datasets.,0
Troubleshoot customer problems and develop solutions,2
"Leverage the optimum machine learning techniques for predictions in various Business Units such as Procurement, Sales, Marketing, Operations, etc. to enhance revenue and reduce costs.",0
"Work closely with software engineers and architects to extract, transform and standardize data for optimal use for analytic tools",0
Thorough and accurate documentation of all customer inquiries and transactions.,3
Perform related tasks as required.,2
Facilitate process discussions with customer and our technical services team.,3
Assess the effectiveness and accuracy of new data sources and data gathering techniques,0
"Software development experience on real time (Linux, QNX, VxWorks) or embedded systems.",2
"Improve business awareness of existing Service Catalog offerings and potential IT Services to enable transparency and unprecedented levels of value and customer satisfaction. Support reporting on IT budget, cost, value, and opportunities to optimize IT spend (initiatives and support services).",3
Work with pre-sales personnel and channel partners to address relevant business requirements,3
Integrate machine learning algorithms with other applications and services,1
Collaborate with the digital and DSAI teams,0
Analyze and extract relevant information from large amounts of historical data - provide hands-on data wrangling expertise,1
"Design and develop machine learning applications and solutions tailored to machine health diagnostics, prognostics, and automation",1
"Working with version control systems (Git, TFS, Bitbucket, etc.).",2
Build dashboards highlighting the key trends of the data.,0
Translate these concept/solution ideas into testable hypotheses that address key technical risk factors.,2
Support ad hoc analysis requests,0
Document software problems and verify fixes,2
Write strong functional and technical specifications for client enhancements,3
System verification prior to system release to customer,2
Assist sales in the qualification of customer needs through discovery;,3
Deriving technical parameters and specifications from measured data,0
"Work as a member of an agile team to enhance and improve software written in one or more of the following languages: C#, C++, Java, Javascript, Scala, Python, Golang",2
Responsible for the administration and upkeep of the vessel Planned Maintenance System,2
Support ad hoc projects as assigned by management,3
"Provide solutions to business problems of prospective customers and participate in meetings, presentations, and whiteboard sessions.",3
"Researching, rating and implementing development tools",0
Travel up to 30% of the time as necessary.,2
"Depending on experience level, candidate will be required to produce and maintain documentation such as designs and plans. The successful candidate will be expected to provide technical and project leadership to other staff members.",2
Establish and maintain data dictionary,0
"Design, code, and test applications/executables to define requirements, and develop release documentation, as required.",2
Identify the most appropriate algorithm for a given data set and tune input and model parameters,0
"Establish a universal standard, process, and repository of predictive and machine learning models to support team documentation and organizational sharing.",0
"Supervise day-to-day staff management issues, including resource management, work allocation, mentoring/coaching and other duties and functions as assigned",1
Creating and Finding available datasets online that could be used for training,1
Setup of dashboards and recurring reports that provide useful ongoing updates to all businesses,0
"Create and deliver technical presentations to support the design and development of robot systems, including requirement and design reviews.",2
"Generate sales in your territory for assigned retail stores by demonstrating products, conducting store events, corporate events, and side by side selling with store personnel.",3
Provide management consulting advisory services in the commercial insurance industry across business functions with a focus on Risk Engineering and Underwriting,3
"Partner with internal data scientists, developers, and tech teams to develop new methodologies and utilities",0
Develop and maintain documentation to clarify architecture requirements and rationale,1
Use complex algorithms to develop systems & applications that deliver business functions or architectural components.,0
"Conduct exploratory data analysis, data munging / cleaning, and create informative visualizations",0
"Work with camera, laser, radar, and ultrasound data and curate datasets for machine learning.",1
"Design, develop, and debug automated tests for embedded software systems",2
Monitor network performance; troubleshooting network problems and outages,2
Interacting with customers to understand and pose relevant data analysis problems.,0
Organizing internal resources appropriate for each customer opportunity,3
Develop and champion best-in-class sales training,2
Define software requirements and test plans,2
"Provide oversight as well as hands-on development, leading by example.",2
Executes statistical and mathematical analyses to support business decision making.,0
Provide continuing education to the technical staff of our partners via webinars and on-site shadowing of implementations.,2
"Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS 'big data' technologies.",3
Architect software solutions and systems,2
Perform DevOps and orchestration for all data hub and analytical processes.,1
Participate in testing reviews.,2
"Will be required to support business development, marketing and proposal development efforts",3
Stays abreast of latest technology and regularly reviews potential paths of change with IT management,3
"Data exploration and model building targeting given CTQs (ex: field issue investigations, developing tracking filters, inspections, root cause analysis, etc.)",0
"Provide support for existing electronic and software products, as required by both the company and its customers. Duties will include training, technical consulting and application of technical knowledge.",2
Testing and debugging system behavior in collaboration with Control Engineers,2
Accountable for the business relationship management of assigned client counterparts and will work closely with those persons to scope and shape IT project intent that advance business value driven strategies,3
"Design, build, deploy, and support scalable statistical and machine learning models",0
"Lead and execute network, web application, wireless, and social engineering penetration tests that will vary in level of complexity from simple to potentially complex",3
Design and develop web-based software applications and components in various software languages,2
Develop multiple custom data models to drive innovative business solutions.,0
"Involved with the design, development, analysis, testing and debugging of computer software applications and/or systems",2
"Develop and update technical documentation for solution architecture, business continuity planning, and training purposes",2
"Reviews customer specifications and requirements, and under direction develops designs to best support them, including cost as a key design variable",2
Ability to learn existing training materials in order to deliver training,3
Follow established implementation standards and service delivery requirements.,3
"Helping define product features, drive the system architecture, and spearhead the best practices that enable a quality product",1
Be a lifelong learner and develop your skills continuously.,2
"Focus on building and executing against a strategy and roadmap focused on moving from monolithic, tightly coupled, batch based legacy platforms to a loosely coupled, event-driven, microservices-based architecture to meet our long term business goals.",2
Prepare system and programming documentation.,2
Provide creative direction in the development of marketing materials as needed,3
"Developes, updates and maintains site validation procedures and related records",2
"Analyze results of tests and interact with development engineers, architects/PM and test community in the resolution/root causing of test failures",2
Prepares accurate and complete on-site moving estimates for individuals planning to move within the state. Follows pricing guidelines as established by the company.,3
Work alongside the development team enhancing their product development using test automation/modeling/simulation tools,2
"Developing, deploying, and debugging cloud-based applications",2
Assisting with design changes and SW updates,2
Able to verify the control software in lab and support field trial,2
Development of mass and energy balances,2
Work effectively at all levels of the organization to influence     and move toward consensus.,3
"Build data into everything - and analyze it to find efficiencies, make automatons, and predict outcomes.",0
Apply Machine Learning / Artificial Intelligence to retrieve relevant results with optimal ranking.,1
Adherence to Standards - Ability to create solutions that adhere to and incorporate company standards.,2
"Become an expert who understands solar and energy efficiency, giving you the ability to show customers how to reduce their energy cost at no additional cost.",3
Working on audit work papers for compliance with department policy and IIA standards,3
"Analyze current programs including performance, diagnosis, and troubleshooting of problem programs as designed innovative solutions to improve their efficiency.",2
"Develop and Deploy advanced Machine Learning, Reinforcement learning and Deep Learning Models/algorithms to enhance existing business processes with predictive and intelligent decision making.",0
Routine software installation and upgrades,3
Develops materials to explain project findings.,0
"Identify, assess, estimate, and solve complex business challenges, where analysis of situations/scenarios or data requires an in-depth evaluation of variable factors including security.",2
"Evolve skills, solutions, and the organization to predictive & prescriptive analytics",0
Presenting results to management executives.,0
Understand challenges and best practices in the logistics domain and implement best in class solutions,2
Prepare the specifications and technical details to fully define performance of the solution.,2
Act as champion of the project by ensuring resolution of issues escalated by project manager or team members and raising awareness at senior level,2
Interact and work with open source community members,2
"Represent DMA as a subject matter expert on real world data, its use incl. study methodologies and capabilities.",0
Characterize aspects of our ML system and recommend ways it can be improved,0
"Problem solve with practice leaders to translate the business program into a solvable Data Science problem, formulate different approaches, outline pros and cons for each approach",0
"Lead major portions of large, medium and small projects",3
Help the team adopt SDLC Automation/DevOps to maximize ROI of technology investments Key Skills:  Proficiency in C#,2
Created operational runbooks for new solutions deployed within the customer environment.,3
"Responsible for Batch execution, monitoring and support of batch cycles across multiple test environments.",3
"Work in collaboration across Product, Operations and Business Development work streams to define and deliver on ambitious acquisition and conversion goals",3
Able to understand business drivers and challenges involved in implementation,3
Additional responsibilities or changes in job responsibilities may be added as the department and company changes or as needs require; this job description provide a summary of key job responsibilities.,2
Maintain quality and ensure responsiveness of products,2
Innovate with new technologies and existing strategic platforms to deliver quality products,2
Experience building normalized and reporting databases.,2
Collaborate and contribute in R&D activates via high-quality and productivity scripts;,1
Understand and adhere to our EHS Policy,2
Lead engagement efforts with Data Analysts & Data Scientists to deliver advanced AI/ML solutions,1
Determine each customer's vehicle needs and wants by asking questions and listening.,3
"Provide on-going production support in our payroll and Time Management modules, resolve tickets and collaborate with appropriate teams to implement and test system fixes",3
"Collects requests for new technologies, formulates solutions, estimates effort and budget, and develops business cases to support change",3
System modeling in Matlab and Simulink,2
"Partners with the Functional Solutions Architect to ensure the solutions for the finance, accounting and related business operations are sound and work well with the solutions being implemented throughout the project as a whole",3
Inputs into the data quality and integrity review strategy for the study.,0
Support the incorporation of RWE methods and perspectives into global development strategies,0
"Working within an engagement team, a Senior NetSuite Consultant is responsible for identifying business requirements, requirements management, functional design, prototyping, process design (including scenario design, flow mapping), testing, training, defining support procedures, leading work streams and supporting implementations",3
Take ownership of assigned design and development tasks for current and future generation of products,2
"Deliver product trainings and presentations to SMEs, IT teams, and C-suite executives",3
"Drive innovation by identifying and formulating new problems, publishing papers, filing patents, etc.",1
"Review code for team members, providing in-depth comments and constructive feedback",2
"Sourcing, cleansing, structuring and ingesting new data sources",0
Being the primary client support for Evertz' DreamCatcher product,2
Develop experiments to collect data or models to simulate data when required data are unavailable,0
Generation of product demo scripts and scenarios and maintaining demonstration environment(s);,3
Conduct exploratory data analysis,0
Represent team in portfolio prioritization discussions for each supported business team.,3
"Coach, mentor, and train others.",2
Works under close supervision,2
Able to quickly assess material issues based on past experience with other projects,3
"Lead our company and client teams to identify maximum, sustainable results.",3
"Determine high-level performance test scope, timeframes and environment needs",2
Co-work on features with global teams.,2
Drive tooling and infrastructure improvements for cloud-based ML deployments,1
Respond to customer requirements and mitigate customer needs,3
Providing continuous support and maintenance for numerous web properties,2
"Manages, evaluates quality, and optimizes spacecraft procedures, tools, and the processes needed for efficient execution of operational activities.",2
Utilize the latest C++ / C# techniques in code development,2
"Innovation: Promote a culture of innovation that shares technology effectively and responsibly; you will refine and embody a cross-functional Engineering culture that works for all departments, encouraging knowledge transfer and professional growth.",2
Share knowledge with other software engineers and management by documenting work,2
"Assist in developing software standards, measuring performance, and identifying opportunities to improve the team's capabilities for future efforts.",2
Write automated tests for Python code.,0
Leveraging relationships with referral endorser partners and key industry partners,3
"Maintenance, enhancement, and development of modules.",3
Developing the points of value to deliver throughout the HR Service Transformation effort,3
"Design and develop novel deep learning vision algorithms for object detection / segmentation, and related areas with state-of-the-art models. Be the lead and extremely hands-on at the same time.",1
"Ensure Compliance with applicable OSHA, PHMSA, FMCSA, EPA, TCEQ, Federal, State, and local requirements",3
"Perform scope, design and code reviews to ensure quality.",2
Take ownership of data models and solutions by communicating and advocating their use to the Head of People Analytics;,0
"Helps gather and assist PM in processing of ""time and material"" billings as required.",2
Working with external PCT 5G UE collaboration partners predominately Qualcomm,2
"Build the libraries and frameworks that support large, complex web applications for our product.",2
Participate in various stages of software development including deployment/trouble shooting (for current products),2
"Have a solid working knowledge of equipment including combustion turbines, boilers, steam turbines, generators, transformers, air quality control equipment",3
"Develop cloud-based SaaS applications in the saas product domain(Proto-typing, Coding, Unit Test).",2
"Deal with enormous amounts of video data, and developing solutions in a distributed setting",1
Peer review job results with colleagues.,2
Defines and configures our STEP platform,3
"Write moderately complex code/scripts to test systems, implementing test harnesses and infrastructure as necessary",2
"You will be responsible for innovation to evangelize our product based systems as the easiest to design with, and use, in the world",2
"Accountable to develop, share, and leverage best practices across IT.",3
"Architect, design, and develop systems software and interfaces upon which the Xcalar compute engine is built.",2
Experience developing applications (graphical and non-graphical) and drivers for embedded Linux,2
You will monitor production systems and provide on-call support.,2
"Research machine learning (including deep learning) approaches and apply them to tackle real-world problems in construction project life cycle, including but not limited to knowledge extraction from unstructured data, construction site object detection and tracking etc.",1
"Release Management: Improving release quality, tools and processes",2
"Innovate and recommend advanced predictive analytics, computational science, Natural Language Processing (NLP), machine learning and deep learning techniques to answer research questions and synthesize insights that achieve business objectives.",0
Explore the state-of-the-art technologies and apply them to deliver customer benefits.,1
Define and implement appropriate automation of software development and operational activities,2
"Lead complex, large-scale projects for our Human Capital Management and Payroll Consulting group.",3
"Utilize various resources to obtain regional, industry, product, cost, or competitive market information in order to create trending and analysis. Utilize internal data and database information to create trending and analysis reports.",0
Collaborate across multi-functional teams to identify opportunities for improving the Advanced Engineering and Modeling and Simulation Experimentation Environment and Solutions.,2
Ability to develop strong relationships with Customers,2
"Build tools and support structures needed to analyze data, perform elements of data cleaning, feature selection and feature engineering and organize experiments in conjunction with best practices.",0
"Working in coordination with volunteer developers, editors, and researchers to understand their needs.",1
Develop and manage KPIs and present channel/vertical/LOB performance to leadership,0
Identify performance bottlenecks and build solutions for them,1
"Design and develop methods, protocols, and subsequently perform product testing where appropriate to support the calibration and validation of computational models.",2
"At client, the Data and Analytics organization is focused on unlocking the value of client's data to support the company's Wildfire Safety Program.",0
Review results with customer (within 2 days of job completion  if possible).,2
"Design, implement, ship and maintain highly visible     consumer-facing features",1
Develop and implement new software solutions,2
Collaborators. You're a great contributor to a high performing team that accomplishes great feats for our clients.,1
Conduct business process mapping and requirements gathering sessions with new customers to determine configuration requirements both on-site and remote.,3
"Proactively works with client and Account Management to ensure eligibility, indemnity, claims and other data exchanges are managed and functioning properly, collaborating with appropriate Operational and IT partners as needed.",3
Prepare technical documents for module manufacture and release,2
"Work with our engineering and product teams, translating their requirements and applying the latest machine learning techniques to solve real business problems, improve our platform, and develop new capabilities",1
"Consult with the cross-functional team throughout development, testing, and roll-out to ensure designs are understood, implemented, and communicated appropriately.",3
"Interfacing with internal and external customers, and identifying solutions and providing consultations as needed",2
Develop deal-making and deal structure approach on behalf of technical and operational teams.,3
"Ability to work with pre-sales engineers, solution architects and business analysts to understand business context, gather requirements and define the approach to offer and integrate solutions that combines software, data and services;",2
Able to respond to functional and technical elements.,2
Provide superior client service and analyze needs to achieve sales goals,3
"Design, build and scale Machine Learning systems across multiple domains.",1
Develop a S/W testing system for an embedded Linux/Android platform applications,2
"Determines computer uses needs; analyzes system capabilities to resolve problems on program intent, output requirements, input data acquisition, programming techniques and control",2
"Actively participates in the project planning process (e.g. estimates for project plan tasks, resources, completion time, capital requirements, risks, expenses, etc.)",2
"Incorporate core data management competencies - data governance, data security, data quality.",3
Articulate business opportunities using mathematical techniques to arrive at an answer using available data for modeling.,0
Work with internal clients and the Data Science team to solve problems,1
"Assist client with the identification, prioritization, coordination, and resolution of issues among various business areas and third-party vendors that impact production and quality of system implementation efforts",3
Maintain clinical content over time as software changes and clinical medicine changes,0
Vulnerability research or software reverse engineering skills,2
Collaborate with external clients and internal departments to understand company needs and devise possible solutions leveraging the power of Machine Learning.,0
Promote a culture of collaboration and inclusiveness.,2
"Ensure team commitment to following the adopted SDLC, and adhering to our SOC 2 policies and controls.",2
"Foster a culture of continuous process improvement through feedback, and metrics.",2
Provide expertise on the educator persona and market positioning,3
Manage and document changes made to software,2
"Design, build, deploy, monitor and support production deployment of data science solutions",1
"Parse, standardize, and analyze large volumes of data",0
"Inspect iterative results and propose improvements to technique, tools, and process.",2
"Work closely with wet- and dry-lab collaborators to design, analyze, and interpret high-dimensional datasets such as pooled library NGS screening, single cell RNAseq, and proteomics.",0
Work with key stakeholders and understand their needs to develop advanced solutions or improve existing solutions around data and analytics.,0
Assess skill gaps and develop mitigation efforts including training needs.,2
"Design, Implement, and Support Business Intelligence reporting using advanced data visualization and analytics tools, with a specific focus in Tableau.",0
Develop Test Scripts to automatically test ECU functional requirements for each ECU software release,2
A certain degree of creativity and latitude is required,2
"Stay up to date with new products, features, accessories, etc., and their benefits to customers.",3
Partner with SIS technical data engineers and software developers to ensure that projects remain within pre-defined scope throughout development sprints,3
Supporting system-level integration and validation.,2
"Participate in projects that combine front-end clients, back-end services, and low-level applications using many different programming languages including C, Python and HTML5 on all types of Linux systems.",2
Software architecture and coding,2
Address our customers' challenging mission requirement by developing new capabilities as well as making improvements to existing systems.,1
May Serve as technical lead for small projects and mentor other software engineers and developers.,2
"Design new software features through agile development practices such as chartering, story-mapping, and regular stand-up meetings.",2
Works with the Lead Clinical Data manager to plan and deliver the data quality and integrity reviews to meet overall data cuts/database locks.,0
Designing and applying (machine learning) algorithms for extraction of information from data of any kind,0
Participate in build and test automation and other efficiency improvement initiatives,2
Is curious and enthusiastic about new and unfamiliar technologies,1
Ability to network outside of fulfillment operations to share best practices,3
Lead Test case Debug engineer for PCT 5G FDD and TDD FR1 and FR2 based on the roadmap provided by,2
"Thoroughly unit test development components to ensure features, functions and customizations are problem-free with minimal negative impact on members/users and ensuring systems are easily maintainable.",2
Improve literacy in the value and use of data and advanced analytics across the organization by leading successful implementation of data and analytics initiatives across regions and countries,0
Optical Simulation and Design,2
"Identify appropriate algorithms to discover patterns, optimize user experience,",0
"Must understand DQs business practices and the applications/systems that support them Prepare documentation using tools such as Visio, Word and Excel Other duties as assigned Mentor, Create Standards and Implement Process Improvements Mentor less experienced members of the Software Quality Assurance team Suggest, define, and implement new process and testing standards for the team Act as a resource to business stakeholders in their test plan and case development",2
Work on projects that form part of customers transition into the software-defined way of the future.,2
Possess a proven ability to drive business results with their data-based insights and be comfortable working with a wide range of stakeholders and functional teams.,0
Gather requirements and produce quality functional design documentation,3
"Stay up to date with tech, prototype with and learn new technologies, proactive in technology communities",0
"Support the development , update, validation, and documentation of software utilized in the automated testing of printed circuit boards and finished medical devices",2
ability to work independently with minimal supervision,0
Apply problem-solving skills to design and build efficient and reusable abstractions and systems,2
"Understand new data sources and process pipelines, and catalog/document them",0
Keep up to date with latest technology trends,0
Communicate with customers on any issue they have and help understand the root cause through use cases,2
Oversee security and data access best practices,2
"Maintain structural engineering work procedures, specifications and computer aided design programs",2
Budget monitoring and trend tracking.,2
"Perform coding, debugging, testing, and troubleshooting throughout the development process",2
Participation in on-call rotation,2
"Building long-term, mutually beneficial relationships with all influencers",3
Work as part of a project team to coordinate database development and determine project scope and limitations.,2
Help define technical practices to improve the speed and quality for resolution of customer and field reported issues.,2
"Actively participate and able to project manage in all stages of model development from data collection, data quality control, model building, model validation, testing and calibration.",0
"Object-oriented design, coding and application of architectural design patterns",2
Participate in software design and code reviews,2
"Maintain daily activities in business management platform, ConnectWise, to track interactions with both customers and prospects.",3
"Building efficient, reusable and testable PHP modules.",2
Verify System-Level Functional requirements per system requirements using a dSPACE systems test bench,2
"Analyze, manipulate, and synthesize insights from large data sets for both qualitative and quantitative research",3
Responsible for meeting with key business users to understand business needs and strategy,3
Design and develop software systems using scientific analysis and mathematical models to predict and measure outcome and consequences of design.,2
Develops and executes testing protocols for new raw materials and products.,2
Assisting local independent representatives in managing sales activities with design engineers,2
Support CI/CD pipeline and other automation tasks.,2
"Own the resolution of any owner billing adjustments, delivery issues, and post-sale service or consumer relations issues. Work with adjacent teams as needed to ensure an effortless experience for the owner.",3
Train other business and IT staff on basic data science principles and techniques,0
"Identify opportunities to apply Machine Learning and Artificial Intelligence to build, test, and validate predictive models.",0
Must be able to work within a high regulated environment and write appropriate documentation.,0
Partner with managers and stakeholders to drive projects forward,2
Ensure quality of solutions generated and review teams efficiency and provide recommendations for improvements,2
Communicate results and ideas to key decision makers.,0
Partner with other operational areas to identify opportunities     for new projects.,0
Display drive and curiosity to understand the business process to its core,0
"May propose, evaluate and implement process improvements to     increase efficiency and effectiveness.",0
Sell genetic diagnostic testing services to new customers,3
"Work closely with development teams in instrumenting their workflow to build a comprehensive picture of velocity, coverage and quality",2
Work with a machine-learning-first mindset,1
"Provide project level architecture, if necessary.",2
"Ensure controls system requirements are captured, structured, and modeled",2
"Designing new methodologies, pulling necessary data, building statistical and machine-learned models with accuracy, and analyzing experiments, applying critical thinking throughout.",0
brief dashboard to stakeholders and train new users,0
Fundamental understanding of VLANS,2
Make decisions on product/process quality based on evaluations.,2
"Maintains academic and industry relationships for the purposes of research; Maintains expertise and awareness of cutting edge techniques, technologies and potential business solutions.",0
"Apply expertise in Machine Learning and data mining techniques: feature engineering, regression, classification, anomaly detection, time series analysis etc",1
"Responsible for determining the functional solutions for the areas related to Business Operations to ensure the solution is of the highest standard possible within the scope, timeline and budget for the project",3
"Lead the design, development and execution for all battery related projects for magniX.",2
Protects organization's value by keeping information confidential.,2
"This requires periodic reviews to monitor and test our ""controls"" for efficacy and work with the business to close any identified ""gaps""",3
"You'll plan, research, and create high-quality communications deliverables including: presentations, briefings, email announcements, and reports.",3
"Prospects, establishes, and maintains relationships with customers to create opportunities for future and sustainable business.",3
Develop Machine Learning pipelines,1
Performs software project management and software supplier management functions,2
Contribute to Chrome products touching the Partners ecosystem and build a portfolio of tools for seamless integrations with Chrome OS and Chrome Browser.,2
Creative thinker with the ability to synthesize information from various sources and apply that information to concrete business problems.,2
Create a detail scope confirmation and generate documentation for integration bolt-on gaps and/or the development of custom integration plug-ins as needed,3
"We use regression, Bayesian methods, tree-based learners, SVM, RF, XGBOOST, time series modelling, dimensionality reduction, SEM, GLM, GLMM, clustering etc on a regular basis.",0
Skilled designing software interfaces based on commercial technologies,2
Develop estimates and participate in the grooming and prioritization of sprint stories,2
Supports acquisition of hardware and software (or subcontractor services as needed),2
"Support new proposals, change orders, business development efforts, and strategic initiatives",3
Ability to follow policies and procedures; complete administrative tasks correctly and on time,3
Definition of algorithm test procedures,0
Collaborate with software development to implement and deploy newly developed technologies and algorithms,0
Interprets existing procedures to solve complex problems independently,3
Builds software applications across multiple platforms in response to the needs of stakeholders.,2
Acts as a liaison between IT and business units by:,3
"Basic data engineering, involving developing simple ETL jobs or deploying services on EC2 instances or docker containers",0
"Assume responsibility for risk assessment, including hazard and operability (HAZOP) studies for the health and safety of both plant staff and the community. Apply principles of mass, momentum and heat transfer to process and equipment design, including conceptual, scheme, and detail design. Ensure that all aspects of the operation and process meet specified safety and environmental regulations.",2
"Consistently demonstrates regular, dependable attendance and punctuality.",1
"Understand interfaces, functions, and features of the target subsystem",2
Meet with insurance adjuster to discuss the scope of damages,3
"Build high-quality prediction systems that solve our customers' business problems by applying data mining and machine learning techniques; doing statistical analysis; and exploring, interpreting, and analyzing datasets for patterns of interest",0
"Perform data manipulation, wrangling, cleansing and analysis;",0
"Collaborate to refine requirements, design and create solutions which target defined business needs.",2
Suggest training tools to enhance employee performance and skill development.,2
Better leverage of various types of data,0
"Troubleshoot and develop Hive, Pig, Flume, Mango DB, Sqoop, Zookeeper, Spark, MapReduce2, YARN, HBase, Kafka and Strom.",2
Monitoring and synthesizing market research relative to our clients,3
Collaborate with engineering team developing next generation data analytics platforms  for both commercial and military applications.,0
Clean & structure the data and build training & validate data sets by applying advance feature-engineering techniques.,1
"Foster an environment of learning and collaboration within an analytics community of practice, sharing knowledge from previous projects, conferences, courses, etc. and applying knowledge from the experiences of others.",0
Works under general supervision.,2
Write comprehensive unit and end to end tests through the SDLC as well as collaborate with the QE team.,2
Perform other job functions as assigned,2
Creating database schemas that represent and support business processes.,2
Optimize code to perform at scale,1
"40-50% travel to customer sites, ability to travel weekends if engagement requires",3
Ability tomonitor and evaluate application performance and identify areas to improveperformance and availability,2
"Documents research, client communication, and issue resolution in technical support tools. (Approx. 10%)",3
Developing small websites - frontend/backend applications.,2
Work with Product Management to provide feedback on issues with current,3
Track state-of-the-art developments in software engineering and AI,2
Coordinate with teams and vendors to ensure accurate data collection,0
Build and maintain ETL pipelines in Apache Airflow,0
Works closely with customers technical and management team to gain a deep knowledge of unique use case environments to resolve issues and build custom solutions.,2
"Make a solid contribution to team development efforts using tools such as source control, etc.",2
"Build scripts to automate, clean, transform, cross-reference and merge large sources of data utilizing Python",0
"Leverage your expertise to recommend the best solution based on requirements, budget, and timeframe; with the flexibility to adapt the scope as additional needs are identified.",3
Limited travel to healthcare sites will be required,0
"Estimate, prioritize, plan and coordinate testing activities",2
elicit dashboard requirements from customer,0
"Work with large scale dataset which includes transactional, click-stream, and telematics data",0
Develop and implement test plans and test cases.,2
Ability to deal with people in a professional and courteous manner,3
Support the development of strategies that align to the long-term goals and visions of Teradata,0
"Perform assigned client engagements from start to finish, proactively communicating issues to management.",3
